Label,Message
ham,"Hey, are we still meeting today for lunch?"
spam,"Win a free iPhone now! Click here to claim your prize!"
ham,"Can you send me the report by tonight?"
spam,"You've been selected to receive a $1000 gift card!"
ham,"Don't forget the meeting tomorrow morning."
spam,"Act fast! Limited-time offer just for you."
ham,"Let's catch up later this week!"
spam,"Get cheap loans with no credit check today!"
ham,"Happy birthday! Hope you have a great day."
spam,"Congratulations! You won a free vacation. Reply to claim."
ham,"Please find the attached project files."
spam,"You have won a brand new car! Claim now!"
ham,"Are you joining the call at 3 PM?"
spam,"This is your last chance to win a free smartwatch!"
ham,"Good luck with your interview tomorrow!"
spam,"Claim your exclusive discount coupon today!"
